sales_id,date,store_id,product_id,quantity_sold,revenue,promotion_applied,customer_demand_level,festive_period,inflation_period,stockout_event
1,01/01/2024,1,1,62,680512,No,High,No,No,No
2,01/01/2024,1,2,7,29099,No,Low,No,No,No
3,01/01/2024,1,3,30,283050,Yes,Medium,No,No,No
4,01/01/2024,1,4,32,31616,No,Medium,No,No,Yes
5,01/01/2024,1,5,30,310890,Yes,Medium,No,No,No
6,01/01/2024,1,6,21,234087,Yes,Medium,No,No,Yes
7,01/01/2024,1,7,56,440104,Yes,High,No,No,No
8,01/01/2024,1,8,42,130830,Yes,High,No,No,No
9,01/01/2024,1,9,9,27423,No,Low,No,No,No
10,01/01/2024,1,10,34,68646,No,Medium,No,No,Yes
11,01/01/2024,1,11,30,184050,Yes,Medium,No,No,No
12,01/01/2024,1,12,10,80270,Yes,Low,No,No,No
13,01/01/2024,1,13,14,133616,Yes,Low,No,No,Yes
14,01/01/2024,1,14,1,3650,Yes,Low,No,No,No
15,01/01/2024,1,15,46,194718,No,High,No,No,No
16,01/01/2024,1,16,34,146676,No,Medium,No,No,No
17,01/01/2024,1,17,22,174416,No,Medium,No,No,No
18,01/01/2024,1,18,27,177255,Yes,Medium,No,No,No
19,01/01/2024,1,19,19,222281,No,Low,No,No,No
20,01/01/2024,1,20,12,54120,No,Low,No,No,No
21,01/01/2024,2,1,61,669536,No,High,No,No,No
22,01/01/2024,2,2,13,54041,Yes,Low,No,No,No
23,01/01/2024,2,3,26,245310,Yes,Medium,No,No,No
24,01/01/2024,2,4,19,18772,Yes,Low,No,No,No
25,01/01/2024,2,5,32,331616,Yes,Medium,No,No,No
26,01/01/2024,2,6,9,100323,Yes,Low,No,No,No
27,01/01/2024,2,7,22,172898,No,Medium,No,No,No
28,01/01/2024,2,8,9,28035,No,Low,No,No,No
29,01/01/2024,2,9,3,9141,Yes,Low,No,No,No
30,01/01/2024,2,10,21,42399,Yes,Medium,No,No,No
31,01/01/2024,2,11,31,190185,No,Medium,No,No,Yes
32,01/01/2024,2,12,40,321080,No,High,No,No,No
33,01/01/2024,2,13,11,104984,Yes,Low,No,No,Yes
34,01/01/2024,2,14,28,102200,No,Medium,No,No,No
35,01/01/2024,2,15,19,80427,Yes,Low,No,No,No
36,01/01/2024,2,16,13,56082,No,Low,No,No,No
37,01/01/2024,2,17,43,340904,Yes,High,No,No,No
38,01/01/2024,2,18,13,85345,Yes,Low,No,No,No
39,01/01/2024,2,19,26,304174,No,Medium,No,No,No
40,01/01/2024,2,20,39,175890,No,Medium,No,No,No
41,01/01/2024,3,1,33,362208,No,Medium,No,No,Yes
42,01/01/2024,3,2,39,162123,Yes,Medium,No,No,Yes
43,01/01/2024,3,3,7,66045,No,Low,No,No,Yes
44,01/01/2024,3,4,3,2964,Yes,Low,No,No,Yes
45,01/01/2024,3,5,17,176171,Yes,Low,No,No,Yes
46,01/01/2024,3,6,10,111470,No,Low,No,No,No
47,01/01/2024,3,7,24,188616,No,Medium,No,No,No
48,01/01/2024,3,8,30,93450,No,Medium,No,No,No
49,01/01/2024,3,9,36,109692,No,Medium,No,No,No
50,01/01/2024,3,10,28,56532,No,Medium,No,No,No
51,01/01/2024,3,11,10,61350,No,Low,No,No,No
52,01/01/2024,3,12,28,224756,No,Medium,No,No,No
53,01/01/2024,3,13,3,28632,No,Low,No,No,Yes
54,01/01/2024,3,14,50,182500,Yes,High,No,No,No
55,01/01/2024,3,15,42,177786,No,High,No,No,No
56,01/01/2024,3,16,34,146676,No,Medium,No,No,No
57,01/01/2024,3,17,35,277480,Yes,Medium,No,No,No
58,01/01/2024,3,18,3,19695,Yes,Low,No,No,No
59,01/01/2024,3,19,10,116990,No,Low,No,No,No
60,01/01/2024,3,20,20,90200,Yes,Medium,No,No,No
61,01/01/2024,4,1,42,460992,Yes,High,No,No,No
62,01/01/2024,4,2,37,153809,No,Medium,No,No,No
63,01/01/2024,4,3,5,47175,No,Low,No,No,No
64,01/01/2024,4,4,6,5928,No,Low,No,No,No
65,01/01/2024,4,5,30,310890,Yes,Medium,No,No,No
66,01/01/2024,4,6,27,300969,Yes,Medium,No,No,No
67,01/01/2024,4,7,11,86449,No,Low,No,No,Yes
68,01/01/2024,4,8,27,84105,No,Medium,No,No,No
69,01/01/2024,4,9,27,82269,No,Medium,No,No,No
70,01/01/2024,4,10,12,24228,Yes,Low,No,No,Yes
71,01/01/2024,4,11,41,251535,No,High,No,No,No
72,01/01/2024,4,12,16,128432,No,Low,No,No,No
73,01/01/2024,4,13,27,257688,No,Medium,No,No,Yes
74,01/01/2024,4,14,20,73000,No,Medium,No,No,No
75,01/01/2024,4,15,28,118524,No,Medium,No,No,No
76,01/01/2024,4,16,22,94908,No,Medium,No,No,No
77,01/01/2024,4,17,33,261624,Yes,Medium,No,No,No
78,01/01/2024,4,18,18,118170,No,Low,No,No,No
79,01/01/2024,4,19,31,362669,No,Medium,No,No,No
80,01/01/2024,4,20,19,85690,Yes,Low,No,No,No
81,01/01/2024,5,1,31,340256,No,Medium,No,No,No
82,01/01/2024,5,2,30,124710,No,Medium,No,No,Yes
83,01/01/2024,5,3,26,245310,No,Medium,No,No,Yes
84,01/01/2024,5,4,29,28652,Yes,Medium,No,No,No
85,01/01/2024,5,5,14,145082,No,Low,No,No,No
86,01/01/2024,5,6,29,323263,Yes,Medium,No,No,No
87,01/01/2024,5,7,43,337937,Yes,High,No,No,Yes
88,01/01/2024,5,8,49,152635,Yes,High,No,No,No
89,01/01/2024,5,9,18,54846,No,Low,No,No,No
90,01/01/2024,5,10,9,18171,No,Low,No,No,Yes
91,01/01/2024,5,11,30,184050,Yes,Medium,No,No,No
92,01/01/2024,5,12,33,264891,No,Medium,No,No,No
93,01/01/2024,5,13,3,28632,Yes,Low,No,No,No
94,01/01/2024,5,14,27,98550,Yes,Medium,No,No,No
95,01/01/2024,5,15,35,148155,No,Medium,No,No,No
96,01/01/2024,5,16,34,146676,Yes,Medium,No,No,No
97,01/01/2024,5,17,35,277480,Yes,Medium,No,No,No
98,01/01/2024,5,18,37,242905,Yes,Medium,No,No,No
99,01/01/2024,5,19,27,315873,Yes,Medium,No,No,No
100,01/01/2024,5,20,24,108240,Yes,Medium,No,No,No
101,01/01/2024,6,1,48,526848,Yes,High,No,No,No
102,01/01/2024,6,2,41,170437,Yes,High,No,No,No
103,01/01/2024,6,3,9,84915,Yes,Low,No,No,No
104,01/01/2024,6,4,5,4940,No,Low,No,No,No
105,01/01/2024,6,5,18,186534,No,Low,No,No,No
106,01/01/2024,6,6,8,89176,No,Low,No,No,No
107,01/01/2024,6,7,61,479399,No,High,No,No,Yes
108,01/01/2024,6,8,31,96565,No,Medium,No,No,Yes
109,01/01/2024,6,9,40,121880,Yes,High,No,No,No
110,01/01/2024,6,10,10,20190,Yes,Low,No,No,Yes
111,01/01/2024,6,11,1,6135,No,Low,No,No,No
112,01/01/2024,6,12,33,264891,No,Medium,No,No,Yes
113,01/01/2024,6,13,47,448568,Yes,High,No,No,Yes
114,01/01/2024,6,14,59,215350,Yes,High,No,No,Yes
115,01/01/2024,6,15,23,97359,Yes,Medium,No,No,No
116,01/01/2024,6,16,27,116478,Yes,Medium,No,No,No
117,01/01/2024,6,17,32,253696,No,Medium,No,No,No
118,01/01/2024,6,18,15,98475,Yes,Low,No,No,No
119,01/01/2024,6,19,18,210582,No,Low,No,No,No
120,01/01/2024,6,20,32,144320,No,Medium,No,No,No
121,01/01/2024,7,1,19,208544,Yes,Low,No,No,Yes
122,01/01/2024,7,2,26,108082,No,Medium,No,No,No
123,01/01/2024,7,3,46,434010,Yes,High,No,No,No
124,01/01/2024,7,4,22,21736,Yes,Medium,No,No,No
125,01/01/2024,7,5,31,321253,Yes,Medium,No,No,Yes
126,01/01/2024,7,6,49,546203,No,High,No,No,Yes
127,01/01/2024,7,7,26,204334,Yes,Medium,No,No,No
128,01/01/2024,7,8,30,93450,Yes,Medium,No,No,Yes
129,01/01/2024,7,9,18,54846,Yes,Low,No,No,No
130,01/01/2024,7,10,27,54513,No,Medium,No,No,No
