delivery_id,supplier_id,expected_delivery_date,actual_delivery_date,supplier_delay_days,supplier_reliability_status
1,3,16/08/2024,26/08/2024,10,Delayed
2,1,11/11/2024,13/11/2024,2,On Time
3,7,17/04/2025,18/04/2025,1,On Time
4,1,09/05/2025,14/05/2025,5,Delayed
5,5,29/05/2024,03/06/2024,5,Delayed
6,2,28/07/2024,31/07/2024,3,On Time
7,1,28/04/2024,03/05/2024,5,Delayed
8,1,05/04/2024,07/04/2024,2,On Time
9,3,28/11/2024,03/12/2024,5,Delayed
10,7,26/01/2024,29/01/2024,3,On Time
11,4,03/03/2024,13/03/2024,10,Delayed
12,2,09/03/2025,14/03/2025,5,Delayed
13,3,16/02/2024,17/02/2024,1,On Time
14,5,21/03/2025,21/03/2025,0,On Time
15,2,14/11/2024,16/11/2024,2,On Time
16,7,06/09/2024,07/09/2024,1,On Time
17,1,20/03/2024,23/03/2024,3,On Time
18,2,08/03/2024,08/03/2024,0,On Time
19,5,26/01/2024,27/01/2024,1,On Time
20,2,18/02/2025,21/02/2025,3,On Time
21,6,02/06/2024,12/06/2024,10,Delayed
22,6,07/06/2025,10/06/2025,3,On Time
23,5,17/09/2024,19/09/2024,2,On Time
24,1,01/05/2025,04/05/2025,3,On Time
25,3,10/04/2024,12/04/2024,2,On Time
26,7,27/05/2025,30/05/2025,3,On Time
27,5,01/04/2025,01/04/2025,0,On Time
28,5,10/07/2024,17/07/2024,7,Delayed
29,6,09/04/2024,12/04/2024,3,On Time
30,4,08/11/2024,15/11/2024,7,Delayed
31,7,08/03/2025,11/03/2025,3,On Time
32,2,31/12/2024,07/01/2025,7,Delayed
33,6,29/10/2024,29/10/2024,0,On Time
34,2,23/09/2024,30/09/2024,7,Delayed
35,1,15/03/2025,16/03/2025,1,On Time
36,2,20/03/2025,20/03/2025,0,On Time
37,7,19/06/2024,21/06/2024,2,On Time
38,1,29/03/2024,30/03/2024,1,On Time
39,3,20/06/2025,21/06/2025,1,On Time
40,7,04/03/2024,09/03/2024,5,Delayed
41,6,30/05/2025,09/06/2025,10,Delayed
42,1,30/08/2024,04/09/2024,5,Delayed
43,3,15/02/2025,18/02/2025,3,On Time
44,6,24/09/2024,24/09/2024,0,On Time
45,6,28/07/2024,28/07/2024,0,On Time
46,1,01/03/2025,06/03/2025,5,Delayed
47,3,11/04/2024,16/04/2024,5,Delayed
48,4,24/11/2024,29/11/2024,5,Delayed
49,7,15/02/2025,16/02/2025,1,On Time
50,4,29/03/2024,31/03/2024,2,On Time
51,2,25/07/2024,30/07/2024,5,Delayed
52,1,29/11/2024,06/12/2024,7,Delayed
53,1,24/11/2024,04/12/2024,10,Delayed
54,6,21/06/2025,21/06/2025,0,On Time
55,2,24/09/2024,29/09/2024,5,Delayed
56,3,01/04/2024,01/04/2024,0,On Time
57,6,10/03/2025,17/03/2025,7,Delayed
58,7,24/02/2024,29/02/2024,5,Delayed
59,1,19/04/2025,29/04/2025,10,Delayed
60,1,21/02/2025,21/02/2025,0,On Time
61,1,03/09/2024,13/09/2024,10,Delayed
62,1,01/07/2024,11/07/2024,10,Delayed
63,1,26/04/2025,29/04/2025,3,On Time
64,1,19/08/2024,21/08/2024,2,On Time
65,2,05/12/2024,10/12/2024,5,Delayed
66,2,01/03/2024,04/03/2024,3,On Time
67,1,08/04/2024,10/04/2024,2,On Time
68,3,25/05/2024,25/05/2024,0,On Time
