Transaction_ID,Date,Store_ID,Product_ID,Quantity_Sold,Current_Stock,Warehouse_Stock,Restock_Quantity,Lead_Time_Days,Damaged_Units,Promotion,Customer_Demand,Expiry_Date,Stockout,Revenue,Profit
TXN00001,2025-06-11,STR002,PRD053,9,6,119,78,4,0,Yes,Medium,2025-08-16,No,18382.5,2674.62
TXN00002,2025-05-12,STR003,PRD035,11,49,735,91,5,0,No,Low,2026-03-14,No,21945.77,7306.86
TXN00003,2025-02-03,STR001,PRD025,38,109,534,0,4,1,Yes,Medium,2025-09-29,No,258488.92,70360.04
TXN00004,2025-02-18,STR002,PRD042,16,8,724,44,4,1,No,Medium,2025-10-22,No,100784.32,29448.16
TXN00005,2025-04-16,STR001,PRD041,15,104,934,0,6,1,Yes,High,2026-04-15,No,7445.1,2135.7
TXN00006,2025-06-15,STR004,PRD009,20,5,462,35,4,0,No,Low,2025-11-19,Yes,113983.8,32236.8
TXN00007,2025-02-19,STR001,PRD013,15,33,509,157,4,1,Yes,Medium,2025-06-22,No,86295.45,24892.95
TXN00008,2025-03-13,STR001,PRD028,40,23,503,39,4,1,Yes,Low,2026-03-11,No,210786.4,47437.6
TXN00009,2025-05-19,STR001,PRD013,22,192,65,0,4,0,Yes,Low,2025-09-11,No,126566.66,36509.66
TXN00010,2025-04-15,STR002,PRD043,12,112,542,0,5,0,Yes,Medium,2025-06-14,No,47264.76,7514.52
TXN00011,2025-02-12,STR004,PRD061,11,86,52,0,8,1,No,Medium,2025-11-01,No,48091.45,11192.72
TXN00012,2025-03-15,STR004,PRD030,33,145,798,0,8,0,No,Low,2025-07-20,No,148459.08,27210.48
TXN00013,2025-03-17,STR003,PRD009,13,42,109,0,4,1,Yes,High,2025-09-23,No,74089.47,20953.92
TXN00014,2025-01-15,STR003,PRD010,22,0,538,169,9,1,Yes,Low,2025-11-01,Yes,43294.46,7962.46
TXN00015,2025-01-21,STR001,PRD028,21,0,119,172,4,1,Yes,Medium,2025-04-22,Yes,110662.86,24904.74
TXN00016,2025-05-26,STR004,PRD030,30,118,658,0,8,0,Yes,High,2025-08-05,No,134962.8,24736.8
TXN00017,2025-04-18,STR002,PRD031,43,101,585,0,5,0,No,Medium,2025-08-30,No,136508.66,43651.45
TXN00018,2025-06-21,STR001,PRD025,41,20,455,87,4,1,Yes,High,2026-06-16,No,278895.94,75914.78
TXN00019,2025-03-18,STR004,PRD007,31,49,59,38,6,0,No,High,2026-01-30,No,108845.96,20148.14
TXN00020,2025-01-26,STR002,PRD034,13,5,268,157,8,0,No,Low,2025-08-22,Yes,40731.86,10654.54
TXN00021,2025-01-18,STR001,PRD014,10,215,300,0,6,0,No,Medium,2025-05-08,No,13059.1,4192.3
TXN00022,2025-04-23,STR001,PRD016,7,206,606,0,4,0,No,High,2026-04-22,No,39869.06,8637.72
TXN00023,2025-05-16,STR001,PRD010,16,0,886,190,9,2,No,High,2025-08-07,Yes,31486.88,5790.88
TXN00024,2025-02-04,STR002,PRD041,15,52,961,49,6,0,Yes,High,2025-12-14,No,7445.1,2135.7
TXN00025,2025-02-09,STR002,PRD001,26,46,669,0,3,1,Yes,High,2025-09-02,No,99581.04,13642.98
TXN00026,2025-02-22,STR003,PRD006,43,175,320,0,5,0,No,Medium,2025-04-19,No,176935.11,50607.56
TXN00027,2025-01-24,STR001,PRD033,10,152,483,0,4,1,No,Low,2025-02-24,No,36494.1,7109.8
TXN00028,2025-03-27,STR001,PRD017,11,186,183,0,4,1,No,Low,2025-12-08,No,46322.54,6596.15
TXN00029,2025-05-22,STR004,PRD060,7,173,487,0,4,1,Yes,Low,2025-07-29,No,10976.7,2258.83
TXN00030,2025-06-26,STR004,PRD034,14,217,202,0,8,1,Yes,Medium,2026-05-20,No,43865.08,11474.12
TXN00031,2025-05-22,STR002,PRD017,16,21,180,130,4,0,Yes,Medium,2025-12-24,No,67378.24,9594.4
TXN00032,2025-01-11,STR004,PRD027,32,21,305,194,4,0,Yes,Medium,2025-11-23,No,155382.72,29072.32
TXN00033,2025-04-15,STR001,PRD017,14,235,685,0,4,0,Yes,Low,2025-08-06,No,58955.96,8395.1
TXN00034,2025-02-15,STR001,PRD007,35,0,804,65,6,0,No,Medium,2025-07-22,Yes,122890.6,22747.9
TXN00035,2025-03-10,STR003,PRD028,22,179,768,0,4,0,Yes,Medium,2025-04-28,No,115932.52,26090.68
TXN00036,2025-05-01,STR001,PRD050,16,40,886,71,6,0,No,Medium,2025-11-03,No,109134.72,34967.68
TXN00037,2025-02-28,STR003,PRD041,6,51,725,26,6,0,Yes,Medium,2025-09-14,No,2978.04,854.28
TXN00038,2025-03-13,STR001,PRD022,17,204,121,0,9,0,No,Medium,2026-03-06,No,84987.59,23812.07
TXN00039,2025-05-11,STR003,PRD063,14,88,745,0,6,0,No,Low,2025-08-08,No,35858.34,9412.34
TXN00040,2025-03-08,STR002,PRD041,10,35,321,168,6,1,Yes,Low,2026-02-06,No,4963.4,1423.8
TXN00041,2025-04-22,STR004,PRD002,38,148,855,0,4,0,No,Medium,2026-03-28,No,66101.0,10963.38
TXN00042,2025-05-11,STR001,PRD063,14,15,971,118,6,0,Yes,Medium,2025-07-02,No,35858.34,9412.34
TXN00043,2025-04-22,STR003,PRD040,18,0,997,153,8,0,Yes,Medium,2025-12-28,Yes,35834.22,9164.52
TXN00044,2025-01-18,STR004,PRD059,11,231,730,0,4,0,No,High,2025-07-27,No,72590.87,21266.08
TXN00045,2025-06-19,STR002,PRD055,18,199,177,0,6,0,No,High,2025-12-24,No,54618.84,8103.96
TXN00046,2025-06-20,STR001,PRD002,36,47,462,0,4,0,No,High,2025-09-23,No,62622.0,10386.36
TXN00047,2025-02-19,STR001,PRD042,19,88,730,0,4,0,No,High,2025-06-18,No,119681.38,34969.69
TXN00048,2025-06-07,STR002,PRD044,14,131,358,0,5,1,No,High,2025-07-07,No,16814.42,2207.66
TXN00049,2025-03-19,STR003,PRD002,32,21,854,130,4,0,No,Medium,2025-11-30,No,55664.0,9232.32
TXN00050,2025-04-24,STR002,PRD059,9,163,268,0,4,0,No,High,2025-08-18,No,59392.53,17399.52
TXN00051,2025-06-18,STR003,PRD035,17,4,577,92,5,0,No,Low,2025-11-15,Yes,33916.19,11292.42
TXN00052,2025-06-22,STR002,PRD023,13,66,280,0,4,0,Yes,Low,2025-08-03,No,49748.53,8630.57
